FACILITY INVENTRY,,,,, 
,,,,,
Category,Item,Quantity,Type,Status,
,,,,,
GENERATOR HOUSE,,,,,
MECHANICAL,275KVA GEN SET,2,MANTRAC,GOOD,
,DIESEL TANK,1,"16,000 LITERS CAPACITY",GOOD,
,ABB BREAKER PANEL,1,400VOLT,GOOD,
,STABILIZER,1,220KVA,GOOD,
,TRANSFORMER,1,500KVA,GOOD,
,Light fittings,2,18/6 WHATT,,
 RECEPTION,,,,,
Furniture,Office Chair,1,,,
,Reception table,1,Reception table,,
,3/1 chair,2,,,
,Console chairs,2,,,
,Door,2,,,
Electronics,,,,,
,Light fittings,2,18/6 WHATT,,
,A/C,2,1.5/5hp Split/ standing,NEW,
,TV set,1,Hisense,,
,,,,,
PAUSE ROOM,,,,,
Furniture,Double seater couch,2,Double seater couch,Leapsoft property,
,Office chair,1,,,
,3 in 1  chair,1,,,
,Table,1,,for leapsoft,
Electronics,Water dispenser,1,,,
,Light fittings,2,,,
,Micro wave,1,,,
,TV set,1,55inc,Functinal,
COMMON ROOM,,,,,
Furniture,Office tables,3,,,
,Chairs,7,,,
Electronics,Light fittings,5,18watts led,Functinal,
,AC,2,5/2 HP,,
,Standing fan,1,25inc,Functinal,
C3 ACCOUNT OFFICE,,,,,
Furniture,Office Table,1,,fair,
,Office chairs,3,,fair,
,Door,1,HDF,,
Electronics,AC,1,1.5HP,New,
C3 AUDITORS OFFICE,,,,,
Furniture,Table,2,,,
,Office chairs,6,,,
,Door,1,,,
,Window blind,1,,,
,Work station,1 (4 sitting),,,
Electronics,AC,1,1.5HP,New,
,Light fittings,4,18watts led,Functinal,
,,,,,
,,,,,
DATA CENTRE,,,,,
Electronics,Fire extinguisher,1,,,
,light,4,18watts led,Functinal,
NETWORK MANAGEMENT CENTRE,,,,,
Furniture,Office Table,3,,,
,Office chair,5,,,
,Window blind,2,,,
,Pedestral drawer,3,,,
Electronics,TV,4,,Functinal,
,Fire extinguisher,1,,Not functional,
TELECOMM ROOM,,,,,
Electronics,Ac,2,,,
,light,4,18watts led,Functinal,
CALL CENTRE,,,,,
Category,Item,Total No, Damaged,Current capacity,
Furniture,Office chairs,44,4,40,
,Work station,"80 Seating While the overall condition is fair, there are some repairs needed to maintain a safe, efficient, and comfortable working environment.
",2,78,
,Pedestral Drawers,34,34,,
,Tables,4,,,
Electronics,TV,4,,functinal,
,UPS,3,,functinal,
,AC,5,5HP,,
,Water dispenser,1,,functinal,
,CCTV camera,2,,Functinal,
Fire extinguisher,ball type,2,Good,Good,
,light,24,18watts led,Functinal,
,,,,,
TRAINING ROOM,,,,,
Furniture,Set of table and chair,24,,,
,Window blind,3,,They are old and showing signs of wear and tear,
Electronics,Projector,1,,,
,light,4,18watt led,Functinal,
,AC,2,1.5,,
,Water  dispenser,1,,Functinal,
QUALITY ASSURANCE OFFICE,,,,,
Furniture,Table,8,,fair,
,Office chair,9,,fair,
,Locker,7,,Good,
,Window blind,3,,Fair,
Electronics,Water  dispenser,1,,good,
,AC,1,2HP,,
,Printer,1,,,
,light,6,18watt led,Functinal,
POWER ROOM,,,,,
Furniture,Window blind,1,,They are old and showing signs of wear and tear,
Electronics,UPS system,2,100 KVA,Decommissioned,
,AC,1,3HP,,
,light,2,30watts led,Functinal,
PANEL ROOM,,,,,
Electrical,Generatin set,2,275kva,Functinal,
,Stabilizer,1,1rating (120kva)400voitage,Functinal,
,Change over cabinet panel,1, (1250Amps)690volt,Functinal,
Electronics,light,8,18watts led,Functinal,
,AC,,,,
RRS OFFICE,,,,,
Furniture,Table,1,,,
,Work station,4 seating,,1 damaged,
,Office chair,6,,,
,Window blind,1,,They are old and showing signs of wear and tear,
,Mattress,4,,,
,Locker,5,,,
Electronics,Standing fan,1,,Functinal,
,Microwave,1,2HP,,
